ProdutoID,Nome,Categoria,Preço
14835,TechBoost,C,"665,00 reais"
25397,VitaFresh,Categoria A,R$ 966
11439,OndaLimpa,C,R$ 853
30120,GuardaInteligente,Categoria A,"163,00 reais"
55827,FitPro,A_,R$ 660
23231,EcoCarga,b,R$ 673
75429,RastroDeEnergia,b,"929,00 reais"
2803,BioAtivo,b,"193,00 reais"
24981,FluxoZen,CATEGORIA LETRA D,"342,00 reais"
1594,FrescuraPura,C,R$ 196
21032,EscudoUltra,P,"539,00 reais"
83828,PeleRadiante,b,R$ 196
26359,SaborPuro,CATEGORIA LETRA D,"582,00 reais"
81828,SomQuântico,E,"814,00 reais"
58111,MovimentoFlexível,C,"162,00"
3244,CasaSegura,C,"596,00 reais"
36004,BrisaNatural,Categoria A,R$ 471
11586,RedeRápida,CATEGORIA LETRA D,"386,00"
14229,CombustívelVerde,E,"606,00 reais"
55500,OndaSolar,b,R$ 999
92067,CuidadoComÁgua,Categoria A,"696,00 reais"
59646,VisãoMáxima,CATEGORIA LETRA D,R$ 904
22803,CaminhoBrilhante,P,"798,00 reais"
